Authority,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
LSTA: Grants to States,154848000,155789000,154848000,154848000,150000000,156365000,160032000,172561000,171500000,160885000,163746000,163746000,160704000,157628000,150435000,149014000
LSTA: Native American Library Services,3861000,4063000,3861000,3861000,3667000,3869000,3960000,4000000,3717000,3574000,3638000,3638000,3472000,3206000,3055000,2941000
LSTA: National Leadership: Libraries,13720000,13092000,12200000,12200000,11377000,11946000,12225000,12437000,12437000,12159000,12375000,12375000,12301000,11263000,11009000,11081000
LSTA: Laura Bush 21st Century Librarian,10000000,10000000,10000000,10000000,10000000,12524000,12818000,24525000,24525000,23345000,23760000,23760000,22816000,19882000,9935000,0
"SUBTOTAL, LIBRARY SERVICES TECHNOLOGY ACT (LSTA)",182429000,182944000,180909000,180909000,175044000,184704000,189035000,213523000,212179000,199963000,203519000,203519000,199293000,191979000,174434000,163036000
MSA: Museums for America,20200000,21149000,20200000,20200000,19564000,18030000,18453000,19176000,19176000,16852000,17152000,17152000,16864000,16342000,15381000,15482000
MSA: Museum Assessment Program,0,0,0,0,0,0,0,460000,460000,434000,442000,442000,446000,447000,447000,450000
MSA: 21st Century Museum Professionals,0,0,0,0,0,1969000,2015000,1280000,1280000,965000,982000,982000,992000,0,0,0
MSA: Conservation Project Support,0,0,0,0,0,2613000,2675000,3052000,3052000,2724000,2772000,2772000,2788000,2782000,2792000,2310000
MSA: Conservation Assessment Program,0,0,0,0,0,0,0,803000,803000,793000,807000,807000,813000,815000,815000,820000
MSA: Native American/ Hawaiian Museum Services,924000,972000,924000,924000,877000,926000,947000,975000,945000,895000,911000,911000,843000,0,0,0
MSA: National Leadership: Museums,9120000,7741000,7600000,7600000,7468000,5911000,6050000,7981000,7981000,7782000,7920000,7920000,7539000,6891000,5663000,5167000
"SUBTOTAL, MUSEUM SERVICES ACT (MSA)",30244000,29862000,28724000,28724000,27909000,29449000,30140000,33727000,33697000,30445000,30986000,30986000,30285000,27277000,25098000,24229000
AAHCA: Museum Grants for African American History and Culture,1407000,1481000,1407000,1407000,1336000,1410000,1443000,1485000,1310000,827000,842000,842000,0,0,0,0
"SUBTOTAL, ALL MUSEUM PROGRAMS (MSA & AFRICAN AMERICAN HISTORY CULTURE ACT (AAHCA))",31651000,31343000,30131000,30131000,29245000,30859000,31583000,35212000,35007000,31272000,31828000,31828000,30285000,27277000,25098000,24229000
MUSEUM AND LIBRARY SERVICES ACT (MLSA) GENERAL PROVISIONS: Program Administration,15920000,15713000,16820000,15820000,15532000,16391000,16748000,17134000,16917000,13987000,11858000,11797000,11097000,10389000,9202000,7712000
CONGRESSIONAL EARMARKS ,0,0,0,0,0,0,0,16382000,10737000,18285000,0,0,39889000,32595000,35156000,29524000
TOTAL,230000000,230000000,227860000,226860000,219821000,231954000,237366000,282251000,274840000,263507000,247205000,247144000,280564000,262240000,243890000,224501000
