state,per_pupil_spending
United States,"14,347"
Alabama,"10,683"
Alaska,"19,540"
Arizona,"9,611"
Arkansas,"11,266"
California,"14,985"
Colorado,"12,255"
Connecticut,"22,769"
Delaware,"17,448"
District of Columbia,"24,535"
Florida,"10,401"
Georgia,"12,145"
Hawaii,"16,550"
Idaho,"9,053"
Illinois,"18,316"
Indiana,"11,538"
Iowa,"12,695"
Kansas,"13,449"
Kentucky,"12,126"
Louisiana,"13,397"
Maine,"17,671"
Maryland,"16,417"
Massachusetts,"20,376"
Michigan,"14,085"
Minnesota,"14,378"
Mississippi,"10,170"
Missouri,"11,865"
Montana,"13,299"
Nebraska,"13,826"
Nevada,"10,450"
New Hampshire,"19,443"
New Jersey,"22,160"
New Mexico,"12,127"
New York,"26,571"
North Carolina,"10,655"
North Dakota,"15,140"
Ohio,"14,613"
Oklahoma,"10,498"
Oregon,"13,875"
Pennsylvania,"17,884"
Rhode Island,"18,366"
South Carolina,"12,496"
South Dakota,"10,952"
Tennessee,"10,507"
Texas,"11,005"
Utah,"9,095"
Vermont,"23,586"
Virginia,"13,835"
Washington,"15,570"
West Virginia,"13,059"
Wisconsin,"13,597"
Wyoming,"18,144"
