id,favourites,retweets,created_at,text,is_quoted
903664289411686400,1921,556,2017-09-01 17:02:10,#19YearsLater #BackToHogwarts,False
901217559860703234,2556,934,2017-08-25 22:59:44,"""I rose up from the dead, I do it all the time"" @taylorswift13 #snakes https://t.co/Y4mQousLeq",False
879505014422740994,3879,1578,2017-06-27 01:01:50,#HarryPotter20 There will always be magic.,False
818293342622650368,737,169,2017-01-09 03:08:30,"Hermione tries to play Quidditch but hits her head, accidentally transfigures the furniture &amp; goes to the Yule Ball? https://t.co/V5J9cY9aNu",False
815434344357625856,2719,1012,2017-01-01 05:47:52,2016 was channeling The Little Mermaid and ended the year by stealing Mariah Carey's voice.,False
799300106025476097,2605,1225,2016-11-17 17:16:10,Time to find some fantastic beasts.,False
780595392714907650,6322,5702,2016-09-27 02:30:19,Trump supports Dolores Umbridge. Pass it on. #DebateNight #HarryPotter,False
780595077022224384,1366,693,2016-09-27 02:29:03,*Ahem* https://t.co/PpXEGa4alb #DebateNight #HarryPotter,False
764258881279184898,1205,933,2016-08-13 00:34:51,#VoldemortforPresident,False
764258795132375041,877,592,2016-08-13 00:34:30,"""There is no good and evil. There is only power, and those too weak to seek it."" #VoldemortorTrumpQuote?",False
764258334903898112,405,222,2016-08-13 00:32:40,"""You think I'm going to change? I'm not changing."" #VoldemortorTrumpQuote",False
764256649330565120,967,681,2016-08-13 00:25:59,"""I can make bad things happen to people who are mean to me. I can make them hurt, if I want."" #VoldemortorTrumpQuote",False
764255284642533376,398,242,2016-08-13 00:20:33,"""I can actually make my enemies tell the truth"" #VoldemortorTrumpQuote?",False
764253227705524224,536,394,2016-08-13 00:12:23,"""I've always been able to charm the people I needed."" #VoldemortOrTrumpQuote?",False
759759698514026496,2415,1416,2016-07-31 14:36:42,"Reminder that #CursedChild is not the ""eighth Harry Potter book"" as Rowling didn't even write it, Jack Thorne did.",False
759757935530704898,3788,2657,2016-07-31 14:29:42,"Happy Birthday, JK Rowling. Your words will always be magic.",False
754768723878277120,3405,2166,2016-07-17 20:04:21,Muggle-borns at Hogwarts will probably walk into care of magical creatures and start throwing pokeballs.,False
721732105798082560,3109,1253,2016-04-17 16:08:37,"From the looks of it, Draco is having quite the time at Coachella. Nobody tell his father about this! https://t.co/H0jKawr76B",False
719193411048382466,2381,1094,2016-04-10 16:00:45,#NationalSiblingsDay must get incredibly stressful at the Weasleys.,False
704111765492273152,1877,1002,2016-02-29 01:11:41,It's going to be a real upset if Leo doesn't win the Oscar. He already murdered someone so he can turn it into a Horcrux. #Oscars,False
701426615117545472,4120,2566,2016-02-21 15:21:51,Wands in the Air. #HappyBirthdayAlanRickman #RIPAlanRickman,False
698560443825131520,2507,1265,2016-02-13 17:32:43,There is a 100% chance that at some point at Hogwarts someone said 'knock on wood' and the Weasley twins started smacking Oliver Wood.,False
698559828189429760,2601,1287,2016-02-13 17:30:16,Fair enough. https://t.co/eRv1IDhng6,False
696508456719773696,754,247,2016-02-08 01:38:51,Apparently Chris Martin disapparated from this show? #SB50,False
696508176036950017,2025,1380,2016-02-08 01:37:44,There is about to be a Dark Mark above the stadium because Beyonce just killed. #SB50,False
696507136831000577,672,260,2016-02-08 01:33:36,Turn your magic on? Why would you ever turn your magic off?? #PepsiHalftime,False
696506773822382081,2275,1800,2016-02-08 01:32:10,Accio Beyonce.,False
687837552259260416,5330,3052,2016-01-15 03:23:46,Always.,False
687783820771352576,7580,4916,2016-01-14 23:50:15,The Slytherin flag is at half-mast today #RIPAlanRickman,False
687698610251759617,8124,6699,2016-01-14 18:11:40,Magic Never Dies. #RIPAlanRickman,False
685906462242160641,3447,1773,2016-01-09 19:30:18,Snape. Snape. Severus Snape.,False
680587375794323461,2911,1517,2015-12-26 03:14:09,"For someone who claims they want to ""be like Darth Vader;"" Kylo Ren has some serious Snape hair action going on...",False
677287222916292608,3375,2937,2015-12-17 00:40:31,STAR WARS SPOILER: Snape kills Dumbledore.,False
674392307144269824,5115,3731,2015-12-09 00:57:10,Stop saying Donald Trump is a Slytherin when he's clearly a muggle.,False
