STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00052228,"DENVER MUSEUM, CO US",5/22/2017,0.08,0,0,67,42,42
USC00052228,"DENVER MUSEUM, CO US",5/23/2017,0,0,0,63,39,48
USC00052228,"DENVER MUSEUM, CO US",5/24/2017,0,0,0,83,40,62
USC00052228,"DENVER MUSEUM, CO US",5/25/2017,0.03,0,0,76,51,52
USC00052228,"DENVER MUSEUM, CO US",5/26/2017,0.37,0,0,71,42,51
USC00052228,"DENVER MUSEUM, CO US",5/27/2017,0.17,0,0,59,46,47
USC00052228,"DENVER MUSEUM, CO US",5/28/2017,0,0,0,72,43,53
USC00052228,"DENVER MUSEUM, CO US",5/29/2017,0,0,0,69,47,53
USC00052228,"DENVER MUSEUM, CO US",5/30/2017,0.03,0,0,76,47,56
USC00052228,"DENVER MUSEUM, CO US",5/31/2017,0,0,0,82,48,61
USC00052228,"DENVER MUSEUM, CO US",6/1/2017,0,0,0,81,52,62
USC00052228,"DENVER MUSEUM, CO US",6/2/2017,0.19,0,0,77,55,58
USC00052228,"DENVER MUSEUM, CO US",6/3/2017,0,0,0,76,52,61
USC00052228,"DENVER MUSEUM, CO US",6/4/2017,0,0,0,83,53,65
USC00052228,"DENVER MUSEUM, CO US",6/5/2017,0,0,0,82,57,60
USC00052228,"DENVER MUSEUM, CO US",6/6/2017,0,0,0,77,55,64
USC00052228,"DENVER MUSEUM, CO US",6/8/2017,0,0,0,86,54,69
USC00052228,"DENVER MUSEUM, CO US",6/9/2017,0,0,0,93,63,75
USC00052228,"DENVER MUSEUM, CO US",6/10/2017,0,0,0,95,61,70
USC00052228,"DENVER MUSEUM, CO US",6/12/2017,0,0,0,91,59,65
USC00052228,"DENVER MUSEUM, CO US",6/13/2017,0,0,0,80,51,66
USC00052228,"DENVER MUSEUM, CO US",6/14/2017,0,0,0,86,60,65
USC00052228,"DENVER MUSEUM, CO US",6/15/2017,0,0,0,88,56,65
USC00052228,"DENVER MUSEUM, CO US",6/16/2017,0,0,0,93,56,69
USC00052228,"DENVER MUSEUM, CO US",6/17/2017,0,0,0,85,61,62
USC00052228,"DENVER MUSEUM, CO US",6/18/2017,0,0,0,85,62,62
USC00052228,"DENVER MUSEUM, CO US",6/19/2017,0.06,0,0,87,57,68
USC00052228,"DENVER MUSEUM, CO US",6/20/2017,0,0,0,98,61,79
USC00052228,"DENVER MUSEUM, CO US",6/21/2017,0,0,0,96,70,74
USC00052228,"DENVER MUSEUM, CO US",6/22/2017,0,0,0,90,66,66
USC00052228,"DENVER MUSEUM, CO US",6/23/2017,0.24,0,0,66,47,51
USC00052228,"DENVER MUSEUM, CO US",6/24/2017,0.03,0,0,75,47,62
USC00052228,"DENVER MUSEUM, CO US",6/25/2017,0,0,0,74,53,61
USC00052228,"DENVER MUSEUM, CO US",6/26/2017,0,0,0,88,57,69
USC00052228,"DENVER MUSEUM, CO US",6/27/2017,0,0,0,96,58,67
USC00052228,"DENVER MUSEUM, CO US",6/29/2017,0,0,0,85,58,60
USC00052228,"DENVER MUSEUM, CO US",6/30/2017,0.32,0,0,75,53,62
